Object Type:,Individual Sample,User Code:,IEPRS,,,,,,,,,,,,,,,,,,
Sample Name,IGSN,Parent IGSN,Release Date,Material,Field name (informal classification),Collection method,Collection method description,Comment,Latitude,Longitude,Primary physiographic feature,Name of physiographic feature,Locality,Locality description,Country,State/Province,Field program/cruise,Collector/Chief Scientist,Collection date,Related URL,Related URL Type
SSF_01_Water,10.58052/IEPRS00W9,10.58052/IEPRS00TW,,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,Schneider Springs Fire Study,46.976,-121.1579,stream,American River,S01,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-23,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_01_RNA,10.58052/IEPRS00WQ,10.58052/IEPRS00TW,,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",Schneider Springs Fire Study,46.976,-121.1579,stream,American River,S01,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-23,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_02_Water,10.58052/IEPRS00WA,10.58052/IEPRS00TX,,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,Schneider Springs Fire Study,46.975461,-121.158154,stream,Bumping River,S02,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-23,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_02_RNA,10.58052/IEPRS00WR,10.58052/IEPRS00TX,,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",Schneider Springs Fire Study,46.975461,-121.158154,stream,Bumping River,S02,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-23,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_11_Water,10.58052/IEPRS00WB,10.58052/IEPRS00TY,,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,Schneider Springs Fire Study,47.0195,-121.1285,stream,Quartz Creek,S03,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-23,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_11_RNA,10.58052/IEPRS00WS,10.58052/IEPRS00TY,,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",Schneider Springs Fire Study,47.0195,-121.1285,stream,Quartz Creek,S03,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-23,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_04_Water,10.58052/IEPRS00WC,10.58052/IEPRS00TZ,,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,Schneider Springs Fire Study,46.8099,-121.0672,stream,North Fork Rattlesnake Creek,S04,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-24,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_04_RNA,10.58052/IEPRS00WT,10.58052/IEPRS00TZ,,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",Schneider Springs Fire Study,46.8099,-121.0672,stream,North Fork Rattlesnake Creek,S04,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-24,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_10_Water,10.58052/IEPRS00WD,10.58052/IEPRS00U0,,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,Schneider Springs Fire Study,47.0171,-121.136,stream,Little Naches River,S08,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-23,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_10_RNA,10.58052/IEPRS00WU,10.58052/IEPRS00U0,,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",Schneider Springs Fire Study,47.0171,-121.136,stream,Little Naches River,S08,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-23,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_03_Water,10.58052/IEPRS00WE,10.58052/IEPRS00U1,,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,Schneider Springs Fire Study,46.8095,-121.0675,stream,Rattlesnake Creek,S10,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-24,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_03_RNA,10.58052/IEPRS00WV,10.58052/IEPRS00U1,,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",Schneider Springs Fire Study,46.8095,-121.0675,stream,Rattlesnake Creek,S10,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-24,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_05_Water,10.58052/IEPRS00WF,10.58052/IEPRS00U2,,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,Schneider Springs Fire Study,46.900595,-121.246539,stream,Bumping River,S11,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-23,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_05_RNA,10.58052/IEPRS00WW,10.58052/IEPRS00U2,,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",Schneider Springs Fire Study,46.900595,-121.246539,stream,Bumping River,S11,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-23,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_17_Water,10.58052/IEPRS00WG,10.58052/IEPRS007X,,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,Schneider Springs Fire Study,47.36351,-121.10693,stream,Thorp Creek,S15,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-23,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_17_RNA,10.58052/IEPRS00WX,10.58052/IEPRS007X,,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",Schneider Springs Fire Study,47.36351,-121.10693,stream,Thorp Creek,S15,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-23,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_09_Water,10.58052/IEPRS00WH,10.58052/IEPRS0084,,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,Schneider Springs Fire Study,47.1858237,-120.9186139,stream,Yakima River,S23,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-23,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_09_RNA,10.58052/IEPRS00WY,10.58052/IEPRS0084,,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",Schneider Springs Fire Study,47.1858237,-120.9186139,stream,Yakima River,S23,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-23,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_16_Water,10.58052/IEPRS00WI,10.58052/IEPRS00U5,,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,Schneider Springs Fire Study,47.0821458,-120.7328977,stream,Taneum Creek,S29,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-23,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_16_RNA,10.58052/IEPRS00WZ,10.58052/IEPRS00U5,,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",Schneider Springs Fire Study,47.0821458,-120.7328977,stream,Taneum Creek,S29,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-23,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_14_Water,10.58052/IEPRS00WJ,10.58052/IEPRS00UB,,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,Schneider Springs Fire Study,46.621259,-121.302456,stream,North Fork Tieton River,S47R,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-24,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_14_RNA,10.58052/IEPRS00X0,10.58052/IEPRS00UB,,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",Schneider Springs Fire Study,46.621259,-121.302456,stream,North Fork Tieton River,S47R,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-24,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_13_Water,10.58052/IEPRS00WK,10.58052/IEPRS008J,,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,Schneider Springs Fire Study,46.724186,-120.813397,stream,Tieton River,S49R,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-24,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_13_RNA,10.58052/IEPRS00X1,10.58052/IEPRS008J,,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",Schneider Springs Fire Study,46.724186,-120.813397,stream,Tieton River,S49R,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-24,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_07_Water,10.58052/IEPRS00WL,10.58052/IEPRS00UD,,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,Schneider Springs Fire Study,46.7521,-120.818,stream,Naches River,S50P,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-24,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_07_RNA,10.58052/IEPRS00X2,10.58052/IEPRS00UD,,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",Schneider Springs Fire Study,46.7521,-120.818,stream,Naches River,S50P,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-24,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_12_Water,10.58052/IEPRS00WM,10.58052/IEPRS00UG,,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,Schneider Springs Fire Study,46.6832,-120.94048,stream,Tieton River,S54,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-24,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_12_RNA,10.58052/IEPRS00X3,10.58052/IEPRS00UG,,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",Schneider Springs Fire Study,46.6832,-120.94048,stream,Tieton River,S54,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-24,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_08_Water,10.58052/IEPRS00WN,10.58052/IEPRS00UI,,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,Schneider Springs Fire Study,46.6856,-120.655,stream,Naches River,S58,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-24,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_08_RNA,10.58052/IEPRS00X4,10.58052/IEPRS00UI,,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",Schneider Springs Fire Study,46.6856,-120.655,stream,Naches River,S58,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-24,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_15_Water,10.58052/IEPRS00WO,10.58052/IEPRS0093,,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,Schneider Springs Fire Study,46.98904,-121.099,stream,Little Naches River,T05P,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-23,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_15_RNA,10.58052/IEPRS00X5,10.58052/IEPRS0093,,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",Schneider Springs Fire Study,46.98904,-121.099,stream,Little Naches River,T05P,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-23,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_06_Water,10.58052/IEPRS00WP,10.58052/IEPRS0095,,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,Schneider Springs Fire Study,46.72411,-120.7,stream,Naches River,T41,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-24,https://www.pnnl.gov/projects/river-corridor,regular URL
SSF_06_RNA,10.58052/IEPRS00X6,10.58052/IEPRS0095,,Other,Filter,grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",Schneider Springs Fire Study,46.72411,-120.7,stream,Naches River,T41,In stream site,United States,Washington,US Department of Energy River Corridor Science Focus Area,Allison Myers-Pigg,2023-05-24,https://www.pnnl.gov/projects/river-corridor,regular URL
